Distance(au)                    Energy(au)
1.5855                    -1.170358534358
1.5901                    -1.170121854577
1.5948                    -1.169875730565
1.5995                    -1.169625333915
1.6042                    -1.169370736482
1.6089                    -1.169112009157
1.6135                    -1.168854854782
1.6182                    -1.168588160182
1.6229                    -1.168317540322
1.6276                    -1.168043062011
1.6322                    -1.167770750625
1.6369                    -1.167488830062
1.6416                    -1.167203243919
1.6463                    -1.166914054946
1.651                    -1.166621325321
1.6556                    -1.166331454207
1.6603                    -1.166031897673
1.665                    -1.165728979876
1.6697                    -1.165422759504
1.6743                    -1.165119912026
1.679                    -1.164807326157
1.6837                    -1.164491607404
1.6884                    -1.164172811519
1.693                    -1.163857870961
1.6977                    -1.163533145884
1.7024                    -1.163205503988
1.7071                    -1.162874997848
1.7118                    -1.162541679073
1.7164                    -1.162212777792
1.7211                    -1.161874043299
1.7258                    -1.161532645987
1.7305                    -1.161188634606
1.7351                    -1.160849457817
1.7398                    -1.16050041565
1.7445                    -1.160148900649
1.7492                    -1.159794958815
1.7539                    -1.159438635787
1.7585                    -1.15908763128
1.7632                    -1.158726727454
1.7679                    -1.158363573534
1.7726                    -1.157998212178
1.7772                    -1.157638527618
1.7819                    -1.157268921701
1.7866                    -1.1568972317
1.7913                    -1.156523497807
1.7959                    -1.156155774572
1.8006                    -1.155778112299
1.8053                    -1.155398522117
1.81                    -1.155017041711
1.8147                    -1.154633708509
1.8193                    -1.154256772365
1.824                    -1.153869880175
1.8287                    -1.153481242742
1.8334                    -1.153090895037
1.838                    -1.152707229854
1.8427                    -1.152313599604
1.8474                    -1.151918360666
1.8521                    -1.151521546289
1.8568                    -1.151123189175
1.8614                    -1.150731844896
1.8661                    -1.150330529726
1.8708                    -1.14992776666
1.8755                    -1.149523586588
1.8801                    -1.149126663513
1.8848                    -1.148719769478
1.8895                    -1.148311548361
1.8942                    -1.147902029615
1.8988                    -1.14749999535
1.9035                    -1.147087993966
1.9082                    -1.146674780211
1.9129                    -1.146260381862
1.9176                    -1.14584482653
1.9222                    -1.145437018459
1.9269                    -1.145019253567
1.9316                    -1.144600411001
1.9363                    -1.144180517125
1.9409                    -1.143768563848
1.9456                    -1.143346665015
1.9503                    -1.142923790157
1.955                    -1.142499964027
1.9597                    -1.14207521074
1.9643                    -1.141658619878
1.969                    -1.141232101997
1.9737                    -1.14080472703
1.9784                    -1.140376517775
1.983                    -1.139956633134
1.9877                    -1.139526839339
1.9924                    -1.139096276896
1.9971                    -1.138664967611
2.0018                    -1.138232932977
2.0064                    -1.137809407561
2.0111                    -1.137375997703
2.0158                    -1.136941923209
2.0205                    -1.136507204207
2.0251                    -1.136081128933
2.0298                    -1.135645395911
2.0345                    -1.135208869112
2.0392                    -1.134771772075
2.0438                    -1.134343440602
2.0485                    -1.133905269522
2.0532                    -1.133466582598
2.0579                    -1.133027397701
2.0626                    -1.132587732312
2.0672                    -1.132156973055
2.0719                    -1.131716408032
2.0766                    -1.131275413613
2.0813                    -1.130834006564
2.0859                    -1.130401607433
2.0906                    -1.129959432296
2.0953                    -1.129516893022
2.1                    -1.129074005557
2.1047                    -1.128630785494
2.1093                    -1.128196688571
2.114                    -1.127752855927
2.1187                    -1.127308736269
2.1234                    -1.126864344439
2.128                    -1.126429158314
2.1327                    -1.125984270974
2.1374                    -1.125539154568
2.1421                    -1.125093823163
2.1467                    -1.124657771935
2.1514                    -1.124212055734
2.1561                    -1.1237661652
2.1608                    -1.123320113556
2.1655                    -1.122873913952
2.1701                    -1.122437077019
2.1748                    -1.121990622281
2.1795                    -1.121544057306
2.1842                    -1.121097394365
2.1888                    -1.120660151659
2.1935                    -1.120213330335
2.1982                    -1.119766446516
2.2029                    -1.119319511747
2.2076                    -1.118872537383
2.2122                    -1.118435045525
2.2169                    -1.11798802557
2.2216                    -1.117540998836
2.2263                    -1.117093975966
2.2309                    -1.116656478064
2.2356                    -1.116209493648
2.2403                    -1.115762543774
2.245                    -1.115315638771
2.2496                    -1.114878295187
2.2543                    -1.114431507607
2.259                    -1.113984793846
2.2637                    -1.113538163334
2.2684                    -1.113091625395
2.273                    -1.112654686794
2.2777                    -1.112208359121
2.2824                    -1.111762151208
2.2871                    -1.111316071859
2.2917                    -1.110879616452
