Distance(au)                    Energy(au)
1.3112056                    -1.173680729458
1.31130565                    -1.173684843239
1.3114057                    -1.173688951825
1.31150575                    -1.173693055218
1.3116058                    -1.173697153419
1.31170585                    -1.173701246431
1.3118059                    -1.173705334255
1.31190595                    -1.173709416893
1.312006                    -1.173713494348
1.31210605                    -1.173717566618
1.3122061                    -1.173721633708
1.31230615                    -1.173725695619
1.3124062                    -1.173729752355
1.31250625                    -1.173733803912
1.3126063                    -1.173737850297
1.31270635                    -1.17374189151
1.3128064                    -1.173745927553
1.31290645                    -1.173749958428
1.3130065                    -1.173753984136
1.31310655                    -1.173758004678
1.3132066                    -1.173762020059
1.31330665                    -1.173766030279
1.3134067                    -1.173770035336
1.31350675                    -1.173774035238
1.3136068                    -1.173778029984
1.31370685                    -1.173782019575
1.3138069                    -1.173786004013
1.31390695                    -1.173789983301
1.314007                    -1.17379395744
1.31410705                    -1.173797926433
1.3142071                    -1.173801890278
1.31430715                    -1.17380584898
1.3144072                    -1.173809802541
1.31450725                    -1.173813750963
1.3146073                    -1.173817694243
1.31470735                    -1.173821632389
1.3148074                    -1.1738255654
1.31490745                    -1.173829493277
1.3150075                    -1.173833416023
1.31510755                    -1.173837333639
1.3152076                    -1.173841246106
1.31530765                    -1.173845153468
1.3154077                    -1.173849055706
1.31550775                    -1.173852952822
1.3156078                    -1.173856844816
1.31570785                    -1.173860731691
1.3158079                    -1.173864613449
1.31590795                    -1.173868490091
1.316008                    -1.173872361621
1.31610805                    -1.173876228036
1.3162081                    -1.173880089342
1.31630815                    -1.173883945539
1.3164082                    -1.173887796563
1.31650825                    -1.173891642547
1.3166083                    -1.173895483428
1.31670835                    -1.173899319208
1.3168084                    -1.173903149889
1.31690845                    -1.17390697547
1.3170085                    -1.173910795956
1.31710855                    -1.173914611346
1.3172086                    -1.173918421646
1.31730865                    -1.173922226851
1.3174087                    -1.173926026968
1.31750875                    -1.173929821998
1.3176088                    -1.173933611942
1.31770885                    -1.1739373968
1.3178089                    -1.173941176576
1.31790895                    -1.173944951272
1.318009                    -1.173948720888
1.31810905                    -1.17395248543
1.3182091                    -1.173956244892
1.31830915                    -1.173959999282
1.3184092                    -1.1739637486
1.31850925                    -1.173967492808
1.3186093                    -1.173971231986
1.31870935                    -1.173974966098
1.3188094                    -1.173978695145
1.31890945                    -1.173982419129
1.3190095                    -1.173986138051
1.31910955                    -1.173989851912
1.3192096                    -1.173993560716
1.31930965                    -1.173997264464
1.3194097                    -1.174000963155
1.31950975                    -1.174004656794
1.3196098                    -1.174008345382
1.31970985                    -1.17401202892
1.3198099                    -1.17401570741
1.31990995                    -1.174019380855
1.32001001                    -1.174023049621
1.32011006                    -1.174026712978
1.32021011                    -1.174030371293
1.32031016                    -1.17403402457
1.32041021                    -1.174037672808
1.32051026                    -1.174041316011
1.32061031                    -1.17404495418
1.32071036                    -1.174048587316
1.32081041                    -1.174052215423
1.32091046                    -1.174055838499
1.32101051                    -1.174059456549
1.32111056                    -1.174063069573
1.32121061                    -1.174066677574
1.32131066                    -1.174070280553
1.32141071                    -1.17407387851
1.32151076                    -1.17407747145
1.32161081                    -1.174081059372
1.32171086                    -1.17408464228
1.32181091                    -1.174088220174
1.32191096                    -1.174091793056
1.32201101                    -1.174095360927
1.32211106                    -1.174098923791
1.32221111                    -1.17410248165
1.32231116                    -1.174106034501
1.32241121                    -1.17410958235
1.32251126                    -1.174113125197
1.32261131                    -1.174116663045
1.32271136                    -1.174120195895
1.32281141                    -1.174123723748
1.32291146                    -1.174127246606
1.32301151                    -1.174130764474
1.32311156                    -1.174134277347
1.32321161                    -1.174137785232
1.32331166                    -1.174141288129
1.32341171                    -1.174144786041
1.32351176                    -1.174148278966
1.32361181                    -1.17415176691
1.32371186                    -1.174155249874
1.32381191                    -1.174158727857
1.32391196                    -1.174162200864
1.32401201                    -1.174165668855
1.32411206                    -1.174169131911
1.32421211                    -1.174172589995
1.32431216                    -1.174176043108
1.32441221                    -1.174179491251
1.32451226                    -1.174182934427
1.32461231                    -1.174186372637
1.32471236                    -1.174189805884
1.32481241                    -1.174193234167
1.32491246                    -1.174196657491
